,term,score
0,luce,92.76069713513886
1,hadden,19.676511513514303
2,editor,16.86558129729797
3,mrs,14.054651081081644
4,business,12.649185972973479
5,news,12.649185972973479
6,inc,11.243720864865315
7,weekly,9.838255756757151
8,interest,8.432790648648986
9,journalism,8.432790648648986
10,articles,7.027325540540822
11,editors,7.027325540540822
12,magazines,7.027325540540822
13,harry,7.027325540540822
14,republican,5.6218604324326575
15,purchased,5.6218604324326575
16,fortune,5.6218604324326575
17,editorial,5.6218604324326575
18,sides,5.6218604324326575
19,matthews,5.6218604324326575
20,contained,5.6218604324326575
21,tried,5.6218604324326575
22,writers,5.6218604324326575
23,story,5.6218604324326575
24,god,5.6218604324326575
25,1923,5.6218604324326575
26,chicago,4.216395324324493
27,forum,4.216395324324493
28,paper,4.216395324324493
29,attitude,4.216395324324493
30,memos,4.216395324324493
31,developed,4.216395324324493
32,son,4.216395324324493
33,prospectus,4.216395324324493
34,virtually,4.216395324324493
35,publications,4.216395324324493
36,always,4.216395324324493
37,issue,4.216395324324493
38,see,4.216395324324493
39,question,4.216395324324493
40,literary,4.216395324324493
41,circulation,4.216395324324493
42,sentence,4.216395324324493
43,sports,4.216395324324493
44,henry,4.216395324324493
45,brokaw,4.216395324324493
46,title,4.216395324324493
47,march,4.216395324324493
48,yale,4.216395324324493
49,curiosity,4.216395324324493
50,series,4.216395324324493
51,judgment,2.8109302162163288
52,evangel,2.8109302162163288
53,except,2.8109302162163288
54,executive,2.8109302162163288
55,largest,2.8109302162163288
56,architectural,2.8109302162163288
57,advertising,2.8109302162163288
58,argument,2.8109302162163288
59,issues,2.8109302162163288
60,annual,2.8109302162163288
61,pictorial,2.8109302162163288
62,tall,2.8109302162163288
63,critical,2.8109302162163288
64,briton,2.8109302162163288
65,ll,2.8109302162163288
66,talk,2.8109302162163288
67,nonetheless,2.8109302162163288
68,lean,2.8109302162163288
69,enterprise,2.8109302162163288
70,company,2.8109302162163288
71,seldom,2.8109302162163288
72,sentences,2.8109302162163288
73,senator,2.8109302162163288
74,playwright,2.8109302162163288
75,1936,2.8109302162163288
76,terms,2.8109302162163288
77,campaign,2.8109302162163288
78,husband,2.8109302162163288
79,how,2.8109302162163288
80,reporting,2.8109302162163288
81,hotchkiss,2.8109302162163288
82,quoted,2.8109302162163288
83,candidate,2.8109302162163288
84,friendly,2.8109302162163288
85,illustrated,2.8109302162163288
86,obviously,2.8109302162163288
87,haired,2.8109302162163288
88,13,2.8109302162163288
89,george,2.8109302162163288
90,gives,2.8109302162163288
91,goldwater,2.8109302162163288
92,being,2.8109302162163288
93,zeal,2.8109302162163288
94,eyed,2.8109302162163288
95,far,2.8109302162163288
96,christian,2.8109302162163288
97,association,2.8109302162163288
98,intellectual,2.8109302162163288
99,shared,2.8109302162163288
100,revenue,2.8109302162163288
101,autobiography,2.8109302162163288
102,aware,2.8109302162163288
103,publisher,2.8109302162163288
104,faulted,2.8109302162163288
105,respect,2.8109302162163288
106,baltimore,2.8109302162163288
107,inconspicuous,2.8109302162163288
108,included,2.8109302162163288
109,resigned,2.8109302162163288
110,photojournalism,2.8109302162163288
111,latest,2.8109302162163288
112,sharp,2.8109302162163288
113,sometimes,2.8109302162163288
114,york,2.8109302162163288
115,divorce,2.8109302162163288
116,1928,2.8109302162163288
117,digest,2.8109302162163288
118,86,2.8109302162163288
119,85,2.8109302162163288
120,struck,2.8109302162163288
121,moments,2.8109302162163288
122,conn,2.8109302162163288
123,monthly,2.8109302162163288
124,women,2.8109302162163288
125,couple,2.8109302162163288
126,1930,2.8109302162163288
127,street,2.8109302162163288
128,ought,2.8109302162163288
129,stock,2.8109302162163288
130,donovan,2.8109302162163288
131,sold,2.8109302162163288
132,double,1.4054651081081644
133,elizabeth,1.4054651081081644
134,drove,1.4054651081081644
135,firm,1.4054651081081644
136,five,1.4054651081081644
137,fledging,1.4054651081081644
138,sorts,1.4054651081081644
139,spare,1.4054651081081644
140,fleet,1.4054651081081644
141,curt,1.4054651081081644
142,describe,1.4054651081081644
143,spartan,1.4054651081081644
144,flip,1.4054651081081644
145,focus,1.4054651081081644
146,foe,1.4054651081081644
147,edited,1.4054651081081644
148,dependency,1.4054651081081644
149,folklore,1.4054651081081644
150,departments,1.4054651081081644
151,representatives,1.4054651081081644
152,specialized,1.4054651081081644
153,footed,1.4054651081081644
154,service,1.4054651081081644
155,stating,1.4054651081081644
156,final,1.4054651081081644
157,filial,1.4054651081081644
158,solemn,1.4054651081081644
159,editorials,1.4054651081081644
160,shifted,1.4054651081081644
161,soldiers,1.4054651081081644
162,rev,1.4054651081081644
163,reunited,1.4054651081081644
164,differ,1.4054651081081644
165,retired,1.4054651081081644
166,fateful,1.4054651081081644
167,fathered,1.4054651081081644
168,restyled,1.4054651081081644
169,detailed,1.4054651081081644
170,respected,1.4054651081081644
